name,link
Computer Peripherals,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/computer-peripherals.html
Construction - Infrastructure,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/construction-infrastructure.html
Construction - Real Estate,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/construction-real-estate.html
Construction - Residential & Commercial Complexes,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/construction-residential-commercial-complexes.html
Consumer Food,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/consumer-food.html
Containers & Packaging,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/containers-packaging.html
Courier Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/courier-services.html
Cycles,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/cycles.html
Defence,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/defence.html
Detergents & Soaps,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/detergents-soaps.html
Diamond  &  Jewellery,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/diamond-jewellery.html
Diversified,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/diversified.html
Diversified Chemicals,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/diversified-chemicals.html
Domestic Appliances,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/domestic-appliances.html
Dyes & Pigments,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/dyes-pigments.html
Educational Institutions,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/educational-institutions.html
Electric Equipment,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electric-equipment.html
Electric Equipment - Boilers / Turbines,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electric-equipment-boilers-turbines.html
Electric Equipment - Switchgears,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electric-equipment-switchgears.html
Electric Equipment - Transformers,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/electric-equipment-transformers.html
